iter	RMSE
0	27.72676981
1	26.65500449
2	25.9362681
3	25.30466699
4	24.59472448
5	24.05934938
6	23.62577908
7	23.19316105
8	22.81374114
9	22.53248064
10	22.13680748
11	21.74350318
12	21.48921826
13	21.24929926
14	21.04590463
15	20.81586778
16	20.50300456
17	20.31785923
18	20.06369456
19	19.82834057
20	19.67595282
21	19.56755996
22	19.35147226
23	19.23576049
24	18.91577435
25	18.83483052
26	18.71758318
27	18.53209206
28	18.46896427
29	18.09855209
30	17.95707463
31	17.87878637
32	17.72185228
33	17.15849348
34	17.09612607
35	17.00077161
36	16.55537997
37	16.42452064
38	16.36654809
39	16.04292144
40	15.9144001
41	15.83869816
42	15.78273264
43	15.68927654
44	15.6551765
45	15.32501871
46	15.26237894
47	14.93182816
48	14.81781299
49	14.76969842
50	14.69736083
51	14.62664275
52	14.59882097
53	14.526972
54	14.27229349
55	13.9969816
56	13.95639616
57	13.87411705
58	13.67847092
59	13.55890845
60	13.49089377
61	13.43788855
62	13.35180194
63	13.16112644
64	13.09230886
65	12.96441211
66	12.92912692
67	12.8191409
68	12.77742596
69	12.71443127
70	12.54593392
71	12.51730607
72	12.49272384
73	12.38138469
74	12.23623583
75	12.17755771
76	12.1436391
77	12.04537384
78	11.99401226
79	11.96190113
80	11.93273639
81	11.84356249
82	11.81294259
83	11.76713489
84	11.7407321
85	11.68331569
86	11.66562612
87	11.55241205
88	11.41253965
89	11.32757375
90	11.29819573
91	11.22783507
92	11.18719319
93	11.16181237
94	11.12750208
95	11.09567853
96	11.07332548
97	11.02977001
98	10.99973944
99	10.92583328
100	10.83011682
101	10.74928335
102	10.73301172
103	10.71217404
104	10.6406425
105	10.5862608
106	10.54278324
107	10.48692139
108	10.42702068
109	10.40544454
110	10.36921163
111	10.34610089
112	10.32001755
113	10.30705444
114	10.28647416
115	10.22838014
116	10.19396898
117	10.17782099
118	10.15963949
119	10.14971723
120	10.13605666
121	10.12184455
122	10.07722163
123	10.05933958
124	10.04753809
125	10.0310729
126	9.986714819
127	9.978187882
128	9.954070645
129	9.907746752
130	9.873274669
131	9.865510256
132	9.837607106
133	9.801769843
134	9.78899708
135	9.778286365
136	9.749595765
137	9.712999555
138	9.696881973
139	9.674832934
140	9.667412045
141	9.644599114
142	9.630616256
143	9.617284493
144	9.609170136
145	9.598417453
146	9.588216438
147	9.576453836
148	9.551122543
149	9.521386695
150	9.514019276
151	9.501051521
152	9.486525255
153	9.46352565
154	9.437096186
155	9.428702683
156	9.419869059
157	9.413011562
158	9.399707756
159	9.394114987
160	9.386167464
161	9.374484439
162	9.355605354
163	9.336909123
164	9.304102419
165	9.299003734
166	9.29125429
167	9.284050437
168	9.274433426
169	9.253807786
170	9.243484452
171	9.236923475
172	9.231736695
173	9.226165543
174	9.220464696
175	9.212531836
176	9.203685226
177	9.184275974
178	9.166102349
179	9.158429803
180	9.151744116
181	9.132346305
182	9.122063708
183	9.114399286
184	9.100882919
185	9.084720102
186	9.076528278
187	9.067725175
188	9.042418117
189	9.028667804
190	9.025758964
191	9.020781321
192	9.014367236
193	8.998774135
194	8.993051876
195	8.980159108
196	8.965565641
197	8.959123301
198	8.955055217
199	8.94401319
200	8.935477694
201	8.920930011
202	8.910364832
203	8.904158419
204	8.900370047
205	8.896942828
206	8.888713614
207	8.880406031
208	8.874409577
209	8.865407621
210	8.847504993
211	8.830774755
212	8.82671803
213	8.822520744
214	8.812928102
215	8.806430446
216	8.802506184
217	8.782469563
218	8.771482639
219	8.766326674
220	8.762689341
221	8.754106327
222	8.748036287
223	8.740439394
224	8.73755963
225	8.733644762
226	8.726775597
227	8.723156316
228	8.717788779
229	8.715537456
230	8.708941297
231	8.68938837
232	8.673347765
233	8.667312552
234	8.662459951
235	8.653565575
236	8.649691413
237	8.640996944
238	8.637662224
239	8.622946135
240	8.617951102
241	8.613184449
242	8.603684476
243	8.595213985
244	8.589707642
245	8.586031508
246	8.581563757
247	8.577086793
248	8.574738497
249	8.571828069
250	8.568046569
251	8.56361386
252	8.542676105
253	8.531161443
254	8.528385489
255	8.524181093
256	8.522769745
257	8.520262547
258	8.518654258
259	8.512263947
260	8.510674802
261	8.50645853
262	8.502595477
263	8.501536525
264	8.485833126
265	8.482105891
266	8.475867091
267	8.473895755
268	8.471597683
269	8.468081815
270	8.46505531
271	8.454361151
272	8.450226681
273	8.446819031
274	8.441179163
275	8.439187085
276	8.436037214
277	8.428904743
278	8.419258544
279	8.417286357
280	8.41565106
281	8.411577493
282	8.404729878
283	8.400359297
284	8.397467159
285	8.388732529
286	8.384076025
287	8.377965123
288	8.369431821
289	8.366602539
290	8.362716009
291	8.356955165
292	8.355443466
293	8.350136254
294	8.348567246
295	8.342641309
296	8.338870529
297	8.336981716
298	8.332920069
299	8.330424019
300	8.319215969
301	8.316710284
302	8.310685147
303	8.30445612
304	8.302062824
305	8.296172493
306	8.29241478
307	8.28468813
308	8.281771308
309	8.278472894
310	8.275022072
311	8.274122362
312	8.269958351
313	8.267299253
314	8.260724784
315	8.258339299
316	8.253152679
317	8.249750734
318	8.248120637
319	8.244808965
320	8.242150971
321	8.238435135
322	8.234370986
323	8.229461151
324	8.222392801
325	8.216420291
326	8.21295362
327	8.209816577
328	8.20895858
329	8.207508505
330	8.203892383
331	8.201220372
332	8.193290466
333	8.184297374
334	8.179880997
335	8.175652902
336	8.166322536
337	8.165285318
338	8.160113194
339	8.156321501
340	8.153927076
341	8.151749457
342	8.145794691
343	8.143646496
344	8.142133838
345	8.139701171
346	8.138922157
347	8.136731412
348	8.132975555
349	8.125262668
350	8.123019479
351	8.120546842
352	8.11734611
353	8.115652115
354	8.110725266
355	8.108542834
356	8.105189413
357	8.099861849
358	8.093668309
359	8.091386917
360	8.084400257
361	8.079359032
362	8.075335973
363	8.074198862
364	8.069763519
365	8.066411465
366	8.065927055
367	8.059942275
368	8.05697878
369	8.05468051
370	8.053208353
371	8.051640798
372	8.05001628
373	8.047961856
374	8.046939953
375	8.045386359
376	8.04380954
377	8.041981899
378	8.040009778
379	8.039064
380	8.035130755
381	8.032024467
382	8.03131976
383	8.028601408
384	8.026675619
385	8.025146862
386	8.02335527
387	8.019622299
388	8.017506928
389	8.010810127
390	8.004536757
391	8.000379996
392	7.99720865
393	7.995948139
394	7.994338698
395	7.989485594
396	7.988786249
397	7.988266189
398	7.987035184
399	7.983444628
400	7.979115432
401	7.977116513
402	7.975509485
403	7.971633787
404	7.970701522
405	7.96832631
406	7.964885452
407	7.962281817
408	7.960519821
409	7.956141474
410	7.953617964
411	7.952442382
412	7.951091141
413	7.949806033
414	7.948038677
415	7.944702447
416	7.942149332
417	7.941736878
418	7.937142635
419	7.934257685
420	7.931397813
421	7.929019084
422	7.926416114
423	7.924076055
424	7.922593211
425	7.921158278
426	7.916654754
427	7.911805941
428	7.909744236
429	7.908774243
430	7.907517259
431	7.906312209
432	7.905921484
433	7.904423517
434	7.903687439
435	7.900710832
436	7.899383249
437	7.898188973
438	7.893528892
439	7.890604242
440	7.889662893
441	7.889083411
442	7.884285504
443	7.880865561
444	7.879669989
445	7.878654366
446	7.877495032
447	7.876523413
448	7.873933632
449	7.871121185
450	7.86774714
451	7.866327065
452	7.864752349
453	7.864298071
454	7.86251841
455	7.860369241
456	7.858041953
457	7.855393234
458	7.854547492
459	7.852968521
460	7.852014781
461	7.85070421
462	7.84736084
463	7.844200239
464	7.84303362
465	7.841628556
466	7.837429975
467	7.836096333
468	7.834324857
469	7.830037679
470	7.829090789
471	7.826781877
472	7.825455581
473	7.825042978
474	7.822105278
475	7.820789617
476	7.819516131
477	7.819119348
478	7.818025389
479	7.816475071
480	7.816029609
481	7.811801835
482	7.810580155
483	7.809776792
484	7.808742269
485	7.807377427
486	7.805543699
487	7.804869053
488	7.804102446
489	7.803696052
490	7.802887329
491	7.802123344
492	7.799211117
493	7.79639734
494	7.790920211
495	7.789818805
496	7.788362971
497	7.787613401
498	7.786459542
499	7.78616673
500	7.784941854
501	7.782945064
502	7.780429494
503	7.779509323
504	7.777576013
505	7.775009318
506	7.773316534
507	7.772407944
508	7.770030321
509	7.769225514
510	7.768598522
511	7.768060231
512	7.766466476
513	7.764340186
514	7.763240781
515	7.762063912
516	7.75949665
517	7.757831794
518	7.755781277
519	7.75452584
520	7.752902685
521	7.751953359
522	7.751000599
523	7.748241951
524	7.746320308
525	7.745499778
526	7.7447129
527	7.742819749
528	7.742065335
529	7.741717843
530	7.741084561
531	7.740720761
532	7.739893976
533	7.738221755
534	7.73753009
535	7.736669602
536	7.733186283
537	7.732992123
538	7.732736573
539	7.732005998
540	7.731199879
541	7.73024894
542	7.72888617
543	7.728182958
544	7.727498568
545	7.72622091
546	7.723965386
547	7.721272724
548	7.720147234
549	7.719621884
550	7.717630668
551	7.716267243
552	7.714697312
553	7.714161399
554	7.712521258
555	7.710673802
556	7.710464336
557	7.709792419
558	7.709245324
559	7.708407743
560	7.707492303
561	7.70562871
562	7.70459112
563	7.702615298
564	7.699948069
565	7.698158518
566	7.697120387
567	7.694889169
568	7.693865777
569	7.692602445
570	7.690975678
571	7.690554506
572	7.687443425
573	7.685203959
574	7.684663122
575	7.68436897
576	7.683864144
577	7.683540385
578	7.683017035
579	7.681774926
580	7.68125617
581	7.678801261
582	7.676824335
583	7.676246736
584	7.674630789
585	7.673235572
586	7.672451189
587	7.67151562
588	7.670111873
589	7.669697824
590	7.66860849
591	7.667602727
592	7.665430904
593	7.663438014
594	7.662964203
595	7.66173637
596	7.661184655
597	7.660791901
598	7.660453116
599	7.658879233
600	7.658337158
601	7.657450864
602	7.65683023
603	7.655616664
604	7.65459019
605	7.653907463
