iter	Passed	Remaining
0	207	207506
1	306	152871
2	374	124414
3	440	109718
4	506	100838
5	567	94003
6	628	89089
7	690	85666
8	746	82145
9	806	79805
10	866	77926
11	939	77360
12	1002	76133
13	1074	75668
14	1135	74567
15	1185	72898
16	1259	72829
17	1326	72343
18	1387	71622
19	1464	71741
20	1535	71603
21	1598	71038
22	1642	69775
23	1696	69006
24	1749	68227
25	1813	67919
26	1889	68104
27	1951	67732
28	2017	67552
29	2151	69575
30	2228	69657
31	2294	69421
32	2357	69095
33	2417	68672
34	2464	67945
35	2516	67373
36	2571	66939
37	2620	66345
38	2680	66049
39	2741	65805
40	2787	65191
41	2830	64560
42	2884	64192
43	2928	63638
44	2995	63567
45	3075	63781
46	3133	63529
47	3182	63111
48	3235	62799
49	3286	62446
50	3332	62016
51	3381	61651
52	3431	61314
53	3502	61361
54	3572	61375
55	3626	61124
56	3672	60753
57	3725	60501
58	3775	60223
59	3821	59871
60	3874	59641
61	3915	59241
62	3964	58961
63	4025	58872
64	4074	58610
65	4125	58389
66	4180	58217
67	4232	58013
68	4274	57679
69	4330	57531
70	4388	57424
71	4439	57214
72	4492	57048
73	4542	56843
74	4594	56660
75	4652	56567
76	4697	56304
77	4751	56162
78	4800	55968
79	4850	55776
80	4902	55617
81	4960	55528
82	5012	55384
83	5067	55262
84	5116	55080
85	5159	54831
86	5209	54665
87	5265	54566
88	5326	54521
89	5410	54708
90	5472	54666
91	5541	54696
92	5638	54993
93	5711	55053
94	5766	54937
95	5823	54834
96	5880	54741
97	5934	54618
98	5995	54569
99	6063	54575
100	6127	54537
101	6203	54616
102	6249	54429
103	6301	54288
104	6358	54199
105	6419	54142
106	6478	54067
107	6535	53980
108	6585	53835
109	6635	53686
110	6682	53518
111	6727	53338
112	6770	53145
113	6813	52953
114	6862	52808
115	6919	52731
116	6967	52584
117	7020	52474
118	7064	52298
119	7112	52161
120	7161	52023
121	7205	51857
122	7259	51763
123	7307	51622
124	7357	51499
125	7412	51417
126	7478	51407
127	7532	51315
128	7581	51191
129	7640	51135
130	7694	51044
131	7756	51005
132	7806	50889
133	7871	50870
134	7928	50799
135	7982	50710
136	8043	50670
137	8102	50612
138	8157	50527
139	8210	50438
140	8259	50315
141	8320	50275
142	8372	50175
143	8434	50138
144	8484	50029
145	8533	49916
146	8576	49768
147	8623	49642
148	8673	49535
149	8726	49451
150	8775	49341
151	8827	49245
152	8879	49157
153	8935	49085
154	8990	49013
155	9035	48882
156	9093	48827
157	9144	48730
158	9200	48661
159	9245	48540
160	9293	48430
161	9340	48316
162	9387	48202
163	9438	48111
164	9498	48065
165	9546	47963
166	9589	47831
167	9633	47707
168	9678	47589
169	9733	47520
170	9782	47423
171	9834	47344
172	9897	47311
173	9985	47404
174	10048	47373
175	10102	47298
176	10212	47484
177	10288	47514
178	10340	47427
179	10386	47318
180	10437	47226
181	10484	47121
182	10533	47028
183	10581	46927
184	10634	46847
185	10684	46759
186	10746	46722
187	10815	46715
188	10867	46634
189	10917	46544
190	10973	46477
191	11016	46361
192	11062	46255
193	11110	46161
194	11163	46084
195	11214	46003
196	11271	45944
197	11328	45886
198	11397	45876
199	11448	45795
200	11504	45731
201	11552	45638
202	11608	45574
203	11655	45478
204	11701	45378
205	11746	45275
206	11793	45180
207	11847	45111
208	11893	45012
209	11945	44937
210	12004	44888
211	12060	44826
212	12108	44737
213	12157	44652
214	12204	44560
215	12248	44457
216	12294	44361
217	12345	44286
218	12399	44220
219	12457	44169
220	12506	44082
221	12556	44004
222	12602	43909
223	12654	43837
224	12700	43745
225	12751	43671
226	12798	43581
227	12854	43523
228	12901	43436
229	12950	43356
230	12995	43261
231	13046	43187
232	13093	43101
233	13140	43016
234	13186	42925
235	13237	42854
236	13283	42765
237	13333	42690
238	13377	42594
239	13432	42535
240	13475	42439
241	13520	42350
242	13567	42264
243	13620	42201
244	13668	42121
245	13718	42047
246	13763	41958
247	13812	41884
248	13866	41822
249	13913	41740
250	13965	41673
251	14011	41589
252	14065	41528
253	14120	41471
254	14167	41391
255	14213	41309
256	14261	41230
257	14305	41143
258	14364	41095
259	14416	41031
260	14465	40957
261	14509	40869
262	14555	40789
263	14603	40711
264	14659	40658
265	14703	40572
266	14758	40516
267	14883	40652
268	14957	40645
269	14997	40548
270	15049	40484
271	15107	40433
272	15157	40364
273	15200	40276
274	15248	40200
275	15291	40112
276	15339	40036
277	15386	39961
278	15437	39893
279	15483	39815
280	15543	39771
281	15600	39720
282	15656	39667
283	15699	39581
284	15744	39500
285	15795	39434
286	15848	39371
287	15912	39339
288	15980	39314
289	16041	39273
290	16098	39222
291	16158	39178
292	16218	39133
293	16272	39076
294	16319	39001
295	16371	38936
296	16414	38852
297	16462	38779
298	16509	38707
299	16554	38627
300	16604	38560
301	16650	38482
302	16702	38420
303	16754	38359
304	16804	38292
305	16853	38224
306	16906	38162
307	16958	38102
308	17007	38033
309	17054	37960
310	17100	37885
311	17149	37815
312	17199	37750
313	17249	37684
314	17302	37626
315	17352	37560
316	17402	37494
317	17453	37431
318	17495	37349
319	17543	37279
320	17590	37207
321	17637	37137
322	17684	37066
323	17736	37006
324	17785	36938
325	17838	36881
326	17888	36817
327	17942	36759
328	17985	36681
329	18026	36599
330	18078	36538
331	18124	36468
332	18175	36406
333	18227	36344
334	18279	36285
335	18333	36230
336	18394	36188
337	18448	36132
338	18502	36077
339	18548	36006
340	18597	35939
341	18643	35870
342	18692	35804
343	18732	35722
344	18779	35654
345	18831	35594
346	18879	35527
347	18929	35466
348	18983	35410
349	19035	35352
350	19083	35284
351	19135	35225
352	19183	35159
353	19234	35100
354	19283	35036
355	19334	34975
356	19391	34926
357	19442	34866
358	19495	34809
359	19543	34743
360	19594	34684
361	19644	34622
362	19696	34564
363	19743	34497
364	19855	34543
365	19980	34611
366	20035	34556
367	20082	34489
368	20126	34417
369	20177	34357
370	20220	34282
371	20271	34221
372	20315	34149
373	20366	34089
374	20410	34017
375	20456	33949
376	20503	33883
377	20548	33812
378	20593	33742
379	20638	33673
380	20692	33619
381	20746	33563
382	20789	33491
383	20839	33430
384	20885	33363
385	20933	33299
386	20982	33236
387	21031	33173
388	21074	33102
389	21128	33046
390	21174	32980
391	21226	32923
392	21269	32851
393	21319	32790
394	21370	32731
395	21423	32676
396	21480	32626
397	21534	32572
398	21580	32505
399	21626	32440
400	21676	32379
401	21720	32310
402	21763	32240
403	21816	32184
404	21864	32121
405	21912	32059
406	21955	31988
407	22015	31944
408	22064	31882
409	22116	31825
410	22169	31771
411	22216	31706
412	22260	31638
413	22315	31587
414	22367	31529
415	22419	31472
416	22472	31417
417	22519	31355
418	22567	31293
419	22616	31232
420	22663	31168
421	22710	31105
422	22761	31048
423	22812	30990
424	22866	30936
425	22914	30875
426	22962	30814
427	23017	30762
428	23066	30701
429	23116	30642
430	23162	30578
431	23210	30517
432	23259	30457
433	23304	30391
434	23347	30324
435	23394	30263
436	23446	30206
437	23494	30146
438	23544	30087
439	23592	30027
440	23638	29963
441	23677	29891
442	23728	29835
443	23787	29787
444	23834	29726
445	23879	29662
446	23927	29601
447	23973	29538
448	24032	29491
449	24080	29432
450	24133	29377
451	24183	29319
452	24229	29257
453	24280	29200
454	24322	29133
455	24370	29073
456	24418	29013
457	24472	28960
458	24520	28901
459	24578	28853
460	24630	28797
461	24683	28743
462	24731	28684
463	24837	28691
464	24922	28674
465	24974	28618
466	25025	28562
467	25071	28500
468	25120	28440
469	25171	28384
470	25217	28322
471	25269	28267
472	25318	28208
473	25366	28149
474	25415	28090
475	25462	28029
476	25511	27971
477	25558	27911
478	25600	27844
479	25646	27783
480	25687	27716
481	25734	27656
482	25780	27595
483	25827	27535
484	25880	27481
485	25928	27422
486	25981	27368
487	26029	27309
488	26077	27250
489	26122	27188
490	26163	27122
491	26210	27062
492	26253	26998
493	26299	26937
494	26354	26887
495	26403	26829
496	26448	26768
497	26496	26709
498	26543	26650
499	26592	26592
500	26639	26532
501	26693	26481
502	26744	26425
503	26795	26369
504	26845	26313
505	26898	26260
506	26954	26209
507	26999	26148
508	27058	26101
509	27110	26047
510	27155	25986
511	27198	25923
512	27247	25866
513	27295	25808
514	27343	25750
515	27391	25692
516	27442	25637
517	27488	25578
518	27542	25525
519	27594	25471
520	27650	25421
521	27700	25365
522	27748	25308
523	27797	25251
524	27848	25196
525	27892	25134
526	27938	25075
527	27987	25018
528	28033	24960
529	28083	24904
530	28128	24844
531	28175	24785
532	28222	24727
533	28271	24671
534	28316	24611
535	28359	24549
536	28424	24507
537	28543	24511
538	28624	24482
539	28667	24420
540	28712	24360
541	28758	24301
542	28809	24246
543	28857	24189
544	28904	24131
545	28964	24083
546	29012	24026
547	29067	23975
548	29116	23918
549	29165	23862
550	29213	23805
551	29266	23752
552	29310	23692
553	29358	23635
554	29404	23576
555	29454	23521
556	29500	23462
557	29548	23405
558	29589	23343
559	29638	23287
560	29687	23231
561	29739	23177
562	29785	23119
